"Path Name",Description,"Step No","Step Title","XP Reward",Skills
"Mobile Development","Build practical skills for a career in mobile application development",6,"State Management",100,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",7,"APIs & HTTP Fundamentals",100,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",8,"Local Storage & Databases",125,"MySQL, JavaScript"
"Mobile Development","Build practical skills for a career in mobile application development",9,"Authentication in Mobile Apps",125,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",10,"Asynchronous Programming",125,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",11,"REST API Integration",125,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",12,"Notifications & Device Features",125,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",13,"Mobile App Security",150,"Cybersecurity, JavaScript"
"Mobile Development","Build practical skills for a career in mobile application development",14,"Testing & Debugging Mobile Apps",150,"JavaScript, Git"
"Mobile Development","Build practical skills for a career in mobile application development",15,"App Performance Optimization",150,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",16,"Cross-Platform Development",150,"JavaScript, React"
"Mobile Development","Build practical skills for a career in mobile application development",17,"App Deployment & Publishing",175,Git
"Mobile Development","Build practical skills for a career in mobile application development",18,"Mobile App Architecture",175,JavaScript
"Mobile Development","Build practical skills for a career in mobile application development",19,"Mobile Application Project",200,"JavaScript, Git, UI/UX Design"
"Mobile Development","Build practical skills for a career in mobile application development",20,"Mobile App Portfolio Project",250,"JavaScript, Git, Communication"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",1,"Design Fundamentals",50,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",2,"Color Theory",75,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",3,"Typography Fundamentals",75,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",4,"Layout & Composition",100,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",5,"Visual Hierarchy",100,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",6,"User Research Fundamentals",100,"Communication, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",7,"User Personas & User Journeys",100,"Communication, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",8,"Information Architecture",125,"UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",9,Wireframing,100,"UI/UX Design, Figma"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",10,Prototyping,125,"Figma, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",11,"Figma Fundamentals",125,Figma
"UI/UX Design","Build practical skills for a career in user interface and user experience design",12,"Design Systems",150,"Figma, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",13,"Responsive Design",125,"CSS, HTML, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",14,"Accessibility Fundamentals",125,"HTML, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",15,"Usability Testing",150,"Communication, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",16,"Interaction Design",150,"UI/UX Design, Figma"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",17,"Design Handoff & Developer Collaboration",150,"Communication, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",18,"UX Case Study Development",175,"Communication, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",19,"UI/UX Design Project",200,"Figma, UI/UX Design"
"UI/UX Design","Build practical skills for a career in user interface and user experience design",20,"UI/UX Portfolio Project",250,"Figma, UI/UX Design, Communication"
